shape,demo,method,parameters_per_dim,total_parameters,mean_l2,rmse,max_l2,frobenius_per_point,mean_l2_over_bbox_percent
CShape,2,piecewise,7,14,4.116735626432272,4.8607367567978494,10.842833949600818,0.1537099925798114,6.473763378767052
CShape,3,piecewise,7,14,3.721756245284271,4.475010510328937,10.972905473551572,0.14151225765831893,6.439717750639865
CShape,4,piecewise,7,14,4.435620733660164,5.252311250657339,12.472829432508489,0.16609266532204742,6.478174592514373
CShape,5,piecewise,7,14,4.195566254206683,5.03768124185624,11.433747766836401,0.15930546850171287,6.599951964269354
CShape,6,piecewise,7,14,4.322620829608541,5.3827692015259,13.366146342172982,0.17021810795827738,6.5413988764213675
DoubleBendedLine,0,piecewise,7,14,3.1443460191518118,3.7975322665366544,10.214108394363945,0.12008851450237454,7.043125379622653
DoubleBendedLine,1,piecewise,7,14,3.460098681435632,4.148304722633428,10.439219994379378,0.13118091351954675,7.076346991828539
DoubleBendedLine,2,piecewise,7,14,3.487155868018249,4.139788061135614,10.29350528972545,0.13091159303560923,7.08099490683826
DoubleBendedLine,3,piecewise,7,14,3.7249108771733086,4.415540119742027,11.22547875906986,0.13963163878237425,7.091480786239593
DoubleBendedLine,4,piecewise,7,14,3.5651278421683745,4.288967765184438,10.847449994824967,0.1356290694902505,6.9962330653330085
